LOAD_ZONE,VEHICLE_TYPE,BID_NUM,TIMEPOINT,ev_bid_by_type
Oahu,All_Diesel_Vehicles,0,2707011200,60.651913396207746
Oahu,All_Diesel_Vehicles,0,2707011202,30.439072882493285
Oahu,All_Diesel_Vehicles,0,2707011204,1.6241139323847333
Oahu,All_Diesel_Vehicles,0,2707011206,3.9795878210715316
Oahu,All_Diesel_Vehicles,0,2707011208,3.9795878210715316
Oahu,All_Diesel_Vehicles,0,2707011210,3.9795878210715316
Oahu,All_Diesel_Vehicles,0,2707011212,3.9795878210715316
Oahu,All_Diesel_Vehicles,0,2707011214,3.9795878210715316
Oahu,All_Diesel_Vehicles,0,2707011216,20.913087821071535
Oahu,All_Diesel_Vehicles,0,2707011218,43.030587821071535
Oahu,All_Diesel_Vehicles,0,2707011220,66.87608782107154
Oahu,All_Diesel_Vehicles,0,2707011222,83.40317201941016
Oahu,All_Diesel_Vehicles,0,2707011900,60.65191339620774
Oahu,All_Diesel_Vehicles,0,2707011902,30.439072882493285
Oahu,All_Diesel_Vehicles,0,2707011904,1.6241139323847333
Oahu,All_Diesel_Vehicles,0,2707011906,3.9795878210715316
Oahu,All_Diesel_Vehicles,0,2707011908,3.9795878210715316
Oahu,All_Diesel_Vehicles,0,2707011910,3.9795878210715316
Oahu,All_Diesel_Vehicles,0,2707011912,3.9795878210715316
Oahu,All_Diesel_Vehicles,0,2707011914,3.9795878210715316
Oahu,All_Diesel_Vehicles,0,2707011916,20.913087821071535
Oahu,All_Diesel_Vehicles,0,2707011918,43.030587821071535
Oahu,All_Diesel_Vehicles,0,2707011920,66.87608782107154
Oahu,All_Diesel_Vehicles,0,2707011922,83.40317201941016
Oahu,All_Diesel_Vehicles,0,2707021200,60.651913396207746
Oahu,All_Diesel_Vehicles,0,2707021202,30.43907288249329
Oahu,All_Diesel_Vehicles,0,2707021204,1.6241139323847333
Oahu,All_Diesel_Vehicles,0,2707021206,3.9795878210715316
Oahu,All_Diesel_Vehicles,0,2707021208,3.9795878210715316
Oahu,All_Diesel_Vehicles,0,2707021210,3.9795878210715316
Oahu,All_Diesel_Vehicles,0,2707021212,3.9795878210715316
Oahu,All_Diesel_Vehicles,0,2707021214,3.9795878210715316
Oahu,All_Diesel_Vehicles,0,2707021216,20.913087821071535
Oahu,All_Diesel_Vehicles,0,2707021218,43.030587821071535
Oahu,All_Diesel_Vehicles,0,2707021220,66.87608782107154
Oahu,All_Diesel_Vehicles,0,2707021222,83.40317201941016
Oahu,All_Diesel_Vehicles,0,2707050200,60.651913396207746
Oahu,All_Diesel_Vehicles,0,2707050202,30.439072882493285
Oahu,All_Diesel_Vehicles,0,2707050204,1.6241139323847333
Oahu,All_Diesel_Vehicles,0,2707050206,3.9795878210715316
Oahu,All_Diesel_Vehicles,0,2707050208,3.9795878210715316
Oahu,All_Diesel_Vehicles,0,2707050210,3.9795878210715316
Oahu,All_Diesel_Vehicles,0,2707050212,3.9795878210715316
Oahu,All_Diesel_Vehicles,0,2707050214,3.9795878210715316
Oahu,All_Diesel_Vehicles,0,2707050216,20.913087821071535
Oahu,All_Diesel_Vehicles,0,2707050218,43.030587821071535
Oahu,All_Diesel_Vehicles,0,2707050220,66.87608782107154
