scenario,total_cost_npv,mipgap,solved_at_hst
wr_C1_LSFO250_refbrent,29327394435.93,0.001,2026-07-17 10:02
wr_C1_LSFO250_refbrent,29369608033.15,0.0025,2026-07-16 14:53
wr_C1_LSFO250_refbrent_adv,27872505902.85,0.001,2026-07-18 13:17
wr_C1_LSFO250_refbrent_adv,27904068481.47,0.0025,2026-07-16 14:29
wr_C4_NOTHERMAL_highbrent,29665537085.80,0.001,2026-07-17 12:30
wr_C4_NOTHERMAL_highbrent,29685770120.70,0.0025,2026-07-16 16:13
wr_C4_NOTHERMAL_highbrent_adv,27822010019.71,0.001,2026-07-18 06:35
wr_C4_NOTHERMAL_highbrent_adv,27861802302.29,0.0025,2026-07-16 15:15
wr_C4_NOTHERMAL_lowbrent,28532956647.92,0.001,2026-07-17 17:11
wr_C4_NOTHERMAL_lowbrent,28567129143.01,0.0025,2026-07-16 16:02
wr_C4_NOTHERMAL_lowbrent_adv,27008682861.28,0.001,2026-07-18 05:55
wr_C4_NOTHERMAL_lowbrent_adv,27040221633.07,0.0025,2026-07-16 15:26
wr_C4_NOTHERMAL_refbrent,29076751200.04,0.001,2026-07-17 09:27
wr_C4_NOTHERMAL_refbrent,29105320249.30,0.0025,2026-07-16 14:49
wr_C4_NOTHERMAL_refbrent_adv,27382479826.56,0.001,2026-07-18 13:29
wr_C4_NOTHERMAL_refbrent_adv,27415124813.61,0.0025,2026-07-16 14:42
wr_C5_LNG375_refbrent,28729573557.13,0.001,2026-07-17 13:26
wr_C5_LNG375_refbrent,28773607385.93,0.0025,2026-07-16 17:39
wr_C5_LNG375_refbrent_adv,27392094660.67,0.001,2026-07-18 07:49
wr_C5_LNG375_refbrent_adv,27424203862.94,0.0025,2026-07-16 15:33
wr_C5_LNG375_refbrent_j120,29079439141.10,0.001,2026-07-18 12:21
wr_C5_LNG375_refbrent_j120,29119979560.08,0.0025,2026-07-16 14:54
wr_C5_LNG375_refbrent_j120_adv,27739554528.71,0.001,2026-07-18 10:52
wr_C5_LNG375_refbrent_j120_adv,27777512834.85,0.0025,2026-07-16 16:28
wr_C6_LNG500_refbrent,28781557645.65,0.001,2026-07-17 13:31
wr_C6_LNG500_refbrent,28795678103.35,0.0025,2026-07-16 17:03
wr_C6_LNG500_refbrent_adv,27509217421.92,0.001,2026-07-18 07:43
wr_C6_LNG500_refbrent_adv,27517825708.57,0.0025,2026-07-16 15:46
wr_C6_LNG500_refbrent_j120,29203882207.18,0.001,2026-07-18 11:56
wr_C6_LNG500_refbrent_j120,29241372311.09,0.0025,2026-07-16 15:07
wr_C6_LNG500_refbrent_j120_adv,27935813355.24,0.001,2026-07-18 10:48
wr_C6_LNG500_refbrent_j120_adv,27974883731.36,0.0025,2026-07-16 16:31
